Date,Holiday,DayofWeekInt,DayofWeekName
8/07/2019,Winter,2,mon
9/07/2019,Winter,3,tue
10/07/2019,Winter,4,wed
11/07/2019,Winter,5,thur
12/07/2019,Winter,6,fri
13/07/2019,Winter,7,sat
14/07/2019,Winter,1,sun
15/07/2019,Winter,2,mon
16/07/2019,Winter,3,tue
17/07/2019,Winter,4,wed
18/07/2019,Winter,5,thur
19/07/2019,Winter,6,fri
20/07/2019,Winter,7,sat
21/07/2019,Winter,1,sun
30/09/2019,Spring,2,mon
1/10/2019,Spring,3,tue
2/10/2019,Spring,4,wed
3/10/2019,Spring,5,thur
4/10/2019,Spring,6,fri
5/10/2019,Spring,7,sat
6/10/2019,Spring,1,sun
7/10/2019,Spring,2,mon
8/10/2019,Spring,3,tue
9/10/2019,Spring,4,wed
10/10/2019,Spring,5,thur
11/10/2019,Spring,6,fri
12/10/2019,Spring,7,sat
13/10/2019,Spring,1,sun
23/12/2019,Summer,2,mon
24/12/2019,Summer,3,tue
25/12/2019,Summer,4,wed
26/12/2019,Summer,5,thur
27/12/2019,Summer,6,fri
28/12/2019,Summer,7,sat
29/12/2019,Summer,1,sun
30/12/2019,Summer,2,mon
31/12/2019,Summer,3,tue
1/01/2020,Summer,4,wed
2/01/2020,Summer,5,thur
3/01/2020,Summer,6,fri
4/01/2020,Summer,7,sat
5/01/2020,Summer,1,sun
6/01/2020,Summer,2,mon
7/01/2020,Summer,3,tue
8/01/2020,Summer,4,wed
9/01/2020,Summer,5,thur
10/01/2020,Summer,6,fri
11/01/2020,Summer,7,sat
12/01/2020,Summer,1,sun
13/01/2020,Summer,2,mon
14/01/2020,Summer,3,tue
15/01/2020,Summer,4,wed
16/01/2020,Summer,5,thur
17/01/2020,Summer,6,fri
18/01/2020,Summer,7,sat
19/01/2020,Summer,1,sun
20/01/2020,Summer,2,mon
21/01/2020,Summer,3,tue
22/01/2020,Summer,4,wed
23/01/2020,Summer,5,thur
24/01/2020,Summer,6,fri
25/01/2020,Summer,7,sat
26/01/2020,Summer,1,sun
27/01/2020,Summer,2,mon
13/04/2020,Autumn,2,mon
14/04/2020,Autumn,3,tue
15/04/2020,Autumn,4,wed
16/04/2020,Autumn,5,thur
17/04/2020,Autumn,6,fri
18/04/2020,Autumn,7,sat
19/04/2020,Autumn,1,sun
20/04/2020,Autumn,2,mon
21/04/2020,Autumn,3,tue
22/04/2020,Autumn,4,wed
23/04/2020,Autumn,5,thur
24/04/2020,Autumn,6,fri
25/04/2020,Autumn,7,sat
26/04/2020,Autumn,1,sun
6/07/2020,Winter,2,mon
7/07/2020,Winter,3,tue
8/07/2020,Winter,4,wed
9/07/2020,Winter,5,thur
10/07/2020,Winter,6,fri
11/07/2020,Winter,7,sat
12/07/2020,Winter,1,sun
13/07/2020,Winter,2,mon
14/07/2020,Winter,3,tue
15/07/2020,Winter,4,wed
16/07/2020,Winter,5,thur
17/07/2020,Winter,6,fri
18/07/2020,Winter,7,sat
19/07/2020,Winter,1,sun
28/09/2020,Spring,2,mon
29/09/2020,Spring,3,tue
30/09/2020,Spring,4,wed
1/10/2020,Spring,5,thur
2/10/2020,Spring,6,fri
3/10/2020,Spring,7,sat
4/10/2020,Spring,1,sun
5/10/2020,Spring,2,mon
6/10/2020,Spring,3,tue
